"commune";"Endettement global en 2010";"Endettement par habitant en 2010";"Nombre d'habitants en 2010";"Parti maire";"Bonhomme"
"Ambarès-et-Lagrave";9971000;755;13200;"PS";6
"Ambès";255000;86;2958;"PS";2
"Artigues-près-Bordeaux";1712000;259;6606;"PS";3
"Bassens";6236000;930;6705;"PS";7
"Bègles";16415000;654;25107;"Les Verts";6
"Blanquefort";8107000;514;15780;"PS";5
"Bordeaux";185380000;776;238921;"UMP";6
"Bouliac";1836000;584;3142;"UMP";5
"Le Bouscat";9395000;397;23681;"UMP";4
"Bruges";12866000;934;13771;"UMP";7
"Carbon-Blanc";4123000;585;7046;"PS";5
"Cenon";17865000;777;22985;"PS";6
"Eysines";17751000;906;19589;"PS";7
"Floirac";17273000;1080;15987;"PS";8
"Gradignan";22738000;964;23590;"Divers droite";8
"Le Haillan";6394000;732;8739;"PS";6
"Lormont";23957000;1140;21016;"PS";9
"Mérignac";27704000;414;66916;"PS";4
"Parempuyre";1591000;215;7393;"PS";3
"Pessac";1094000;20;58727;"PS";1
"Saint-Aubin-de-Médoc";10933000;1911;5720;"UMP";10
"Saint-Louis-de-Montferrand";344000;165;2084;"PS";2
"Saint-Médard-en-Jalles";25963000;934;27789;"PS";7
"Saint-Vincent-de-Paul";3000;3;1088;"Sans étiquette";1
"Le Taillan-Médoc";7799000;883;8829;"PS";7
"Talence";28298000;668;42361;"MODEM";6
"Villenave-d'Ornon";9617000;323;29749;"UMP";3
